id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
6iumq5,0.9971,0.103,0.048,0.85,0.10898199,0.04090998,0.8501081,0.068072006,0.5325860030531884
6ivtc4,0.8439,0.28,0.0,0.72,0.04256643,0.06937946,0.88805413,-0.026813027,0.4085434867411852
6iw841,0.0,0.0,0.0,1.0,0.032793786,0.07828141,0.8889249,-0.045487624,-0.022743811830878258
6ixbp0,0.0,0.0,0.0,1.0,0.040747862,0.017883405,0.9413688,0.022864457,0.011432228609919548
6ixga1,0.0,0.0,0.0,1.0,0.18006635,0.011986031,0.8079477,0.16808031,0.08404015749692917
6iz648,0.5859,0.085,0.0,0.915,0.058743123,0.020587722,0.92066914,0.0381554,0.31202769963145255
6j0c0v,0.9965,0.147,0.038,0.816,0.05630553,0.05180163,0.89189285,0.004503902,0.5005019510239364
6j0gcn,0.6597,0.265,0.0,0.735,0.9344654,0.009348023,0.056186642,0.9251174,0.7924086867332458
6j2mxk,0.7731,0.086,0.058,0.856,0.076043315,0.035671066,0.88828564,0.04037225,0.4067361243695021
6j4ngn,0.4767,0.307,0.0,0.693,0.04330439,0.25904387,0.6976517,-0.21573949,0.13048025569915772
6j4r02,0.0,0.0,0.0,1.0,0.033290688,0.02666029,0.9400491,0.0066303983,0.003315199166536331
6j6ywf,-0.9588,0.034,0.144,0.822,0.022669004,0.7315652,0.24576576,-0.70889616,-0.8338480800628663
6j7bn2,0.7096,0.663,0.0,0.337,0.045273677,0.020315317,0.93441105,0.02495836,0.3672791795387864
6j8lhl,0.6634,0.146,0.0,0.854,0.18391241,0.02498023,0.79110736,0.15893218,0.4111660896062851
